bin,count
0,24
1,403
2,327
3,461
4,505
5,430
6,478
7,366
8,393
9,539
10,484
11,441
12,676
13,652
14,619
15,537
16,609
17,651
18,664
19,679
20,745
21,855
22,889
23,992
24,1530
25,1974
26,3201
27,4261
28,3395
29,3121
30,3214
31,2770
32,2587
33,2442
34,2497
35,2659
36,2490
37,2704
38,3029
39,3383
40,3432
41,3617
42,3530
43,3114
44,2593
45,1872
46,1348
47,1233
48,1318
49,1298
50,1211
51,1231
52,1235
53,1149
54,1218
55,1099
56,1145
57,1078
58,1173
59,1067
60,1123
61,1123
62,1097
63,1070
64,1085
65,1113
66,1114
67,1128
68,1081
69,1064
70,1077
71,997
72,1061
73,1035
74,1062
75,995
76,1038
77,1000
78,1052
79,1000
80,1090
81,1066
82,1038
83,1094
84,1162
85,1265
86,1207
87,1312
88,1229
89,1156
90,1223
91,1174
92,1241
93,1236
94,1199
95,1267
96,1345
97,1410
98,1439
99,1531
100,1568
101,1710
102,1737
103,1880
104,1762
105,1749
106,1741
107,1698
108,1706
109,1601
110,1609
111,1729
112,1724
113,1732
114,1703
115,1664
116,1802
117,1712
118,1656
119,1734
120,1669
121,1639
122,1710
123,1618
124,1571
125,1557
126,1571
127,1571
128,1562
129,1586
130,1570
131,1646
132,1629
133,1616
134,1557
135,1566
136,1602
137,1747
138,1841
139,1707
140,1908
141,1781
142,1740
143,1710
144,1749
145,1881
146,1941
147,2048
148,2085
149,2088
150,2031
151,1922
152,1974
153,2023
154,1983
155,2154
156,2005
157,1932
158,1965
159,1927
160,1835
161,1835
162,1852
163,1913
164,1838
165,1803
166,1657
167,1725
168,1748
169,1770
170,1776
171,1732
172,1811
173,1749
174,1821
175,2010
176,2005
177,1940
178,1828
179,1828
180,1885
181,1688
182,1582
183,1619
184,1480
185,1455
186,1424
187,1446
188,1507
189,1571
190,1560
191,1465
192,1504
193,1575
194,1600
195,1606
196,1641
197,1649
198,1668
199,1711
200,1720
201,1789
202,1763
203,1759
204,1744
205,1714
206,1781
207,1994
208,2069
209,2117
210,2207
211,2392
212,2450
213,2673
214,2789
215,3218
216,10716
217,37107
218,36290
219,41823
220,21928
221,16145
222,20390
223,33229
224,24169
225,128083
226,142296
227,41414
228,10359
229,6918
230,3205
231,2
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
