bin,count
0,3354
1,1843
2,1060
3,786
4,1140
5,1148
6,1464
7,1431
8,1483
9,1250
10,1228
11,995
12,1160
13,1225
14,1200
15,1415
16,1850
17,2045
18,2179
19,2222
20,2312
21,2255
22,2445
23,2603
24,2392
25,2451
26,2322
27,2248
28,2026
29,2143
30,2549
31,2413
32,2395
33,2559
34,2642
35,2890
36,3049
37,3292
38,3568
39,3147
40,4731
41,5071
42,3066
43,2270
44,1784
45,1654
46,1381
47,1329
48,1239
49,1368
50,1301
51,1261
52,1071
53,1194
54,1171
55,1141
56,1087
57,1084
58,1145
59,1065
60,1065
61,1007
62,1068
63,1056
64,1144
65,1112
66,1095
67,1226
68,1343
69,1070
70,1030
71,962
72,887
73,886
74,894
75,930
76,930
77,925
78,959
79,889
80,962
81,919
82,977
83,978
84,915
85,935
86,948
87,911
88,1021
89,1003
90,868
91,856
92,837
93,882
94,857
95,860
96,847
97,923
98,906
99,885
100,983
101,1036
102,1039
103,1129
104,1088
105,987
106,1114
107,1189
108,1148
109,1151
110,1195
111,1239
112,1212
113,1276
114,1186
115,1101
116,1213
117,1077
118,1136
119,1183
120,1232
121,1282
122,1240
123,1220
124,1236
125,1269
126,1285
127,1302
128,1339
129,1375
130,1374
131,1418
132,1448
133,1411
134,1492
135,1522
136,1484
137,1497
138,1486
139,1538
140,1546
141,1552
142,1613
143,1555
144,1585
145,1540
146,1490
147,1388
148,1364
149,1347
150,1298
151,1203
152,1226
153,1203
154,1206
155,1184
156,1210
157,1159
158,1090
159,1101
160,1128
161,1109
162,1111
163,1240
164,1216
165,1335
166,1300
167,1315
168,1399
169,1380
170,1332
171,1094
172,1029
173,950
174,995
175,962
176,957
177,956
178,950
179,932
180,913
181,887
182,977
183,910
184,859
185,840
186,888
187,886
188,862
189,880
190,882
191,907
192,833
193,825
194,827
195,816
196,804
197,849
198,872
199,867
200,861
201,894
202,867
203,861
204,855
205,885
206,933
207,934
208,980
209,966
210,1040
211,1071
212,1276
213,1812
214,3220
215,6529
216,12815
217,30854
218,59510
219,38993
220,18432
221,15871
222,24680
223,30277
224,27083
225,108523
226,135566
227,78262
228,16718
229,12203
230,9622
231,3574
232,128
233,75
234,65
235,58
236,63
237,60
238,57
239,61
240,66
241,76
242,104
243,74
244,97
245,107
246,71
247,35
248,9
249,1
250,0
251,0
252,0
253,0
254,0
255,0
