bin,count
0,119
1,1037
2,710
3,793
4,780
5,737
6,891
7,649
8,817
9,835
10,770
11,710
12,735
13,718
14,678
15,771
16,704
17,730
18,774
19,809
20,1407
21,1853
22,2686
23,2616
24,2860
25,2711
26,2751
27,2649
28,2390
29,2422
30,2349
31,2341
32,2441
33,2633
34,2772
35,3280
36,3233
37,2904
38,3001
39,3056
40,3381
41,3449
42,4008
43,3370
44,2690
45,2267
46,1896
47,1868
48,1682
49,1686
50,1716
51,1632
52,1554
53,1546
54,1586
55,1599
56,1607
57,1676
58,1648
59,1334
60,1190
61,1086
62,1041
63,1047
64,1029
65,1027
66,1029
67,989
68,958
69,957
70,934
71,977
72,958
73,927
74,937
75,957
76,924
77,919
78,913
79,902
80,897
81,926
82,1100
83,1004
84,1040
85,1045
86,1049
87,1029
88,1059
89,1065
90,1024
91,1024
92,1073
93,995
94,1068
95,1034
96,1058
97,1076
98,1083
99,1085
100,1082
101,1084
102,1168
103,1177
104,1119
105,1286
106,1288
107,1296
108,1383
109,1508
110,1386
111,1204
112,1205
113,1252
114,1226
115,1256
116,1213
117,1284
118,1233
119,1283
120,1311
121,1322
122,1350
123,1320
124,1314
125,1282
126,1292
127,1338
128,1407
129,1423
130,1544
131,1545
132,1506
133,1593
134,1614
135,1661
136,1804
137,1677
138,1716
139,1729
140,1697
141,1810
142,1792
143,1782
144,1762
145,1756
146,1879
147,1772
148,1750
149,1659
150,1699
151,1648
152,1660
153,1656
154,1635
155,1678
156,1690
157,1665
158,1634
159,1696
160,1621
161,1655
162,1621
163,1622
164,1499
165,1462
166,1399
167,1379
168,1350
169,1327
170,1342
171,1354
172,1322
173,1333
174,1326
175,1342
176,1356
177,1391
178,1400
179,1337
180,1397
181,1422
182,1320
183,1385
184,1460
185,1437
186,1399
187,1434
188,1476
189,1537
190,1455
191,1288
192,1251
193,1256
194,1273
195,1300
196,1334
197,1388
198,1391
199,1313
200,1345
201,1271
202,1363
203,1348
204,1389
205,1396
206,1539
207,1691
208,1766
209,1888
210,2093
211,2288
212,2460
213,2780
214,3216
215,5879
216,10874
217,40755
218,41299
219,39089
220,21008
221,16152
222,20956
223,32180
224,25586
225,126024
226,140710
227,51764
228,12237
229,8094
230,6434
231,13
232,6
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
