bin,count
0,5128
1,4255
2,4055
3,3777
4,3053
5,2565
6,2283
7,2048
8,1989
9,1751
10,1598
11,1596
12,1496
13,1679
14,1773
15,1794
16,1707
17,1741
18,1670
19,1497
20,1476
21,1464
22,1571
23,1586
24,1584
25,1755
26,1657
27,1740
28,1745
29,1841
30,1984
31,2127
32,2341
33,2333
34,2365
35,2245
36,2407
37,2832
38,3545
39,4635
40,5913
41,5636
42,4137
43,3076
44,2207
45,1720
46,1413
47,1385
48,1419
49,1389
50,1391
51,1319
52,1216
53,1150
54,1072
55,999
56,994
57,930
58,914
59,897
60,946
61,958
62,952
63,940
64,947
65,937
66,951
67,1052
68,1060
69,1014
70,1018
71,1026
72,923
73,907
74,900
75,883
76,874
77,864
78,928
79,972
80,971
81,1077
82,1144
83,1250
84,1225
85,1174
86,1083
87,1077
88,985
89,1016
90,1012
91,1030
92,1013
93,1019
94,1001
95,1007
96,1020
97,1037
98,968
99,973
100,945
101,903
102,905
103,889
104,860
105,950
106,884
107,886
108,885
109,830
110,850
111,824
112,810
113,862
114,841
115,861
116,929
117,852
118,901
119,860
120,921
121,889
122,846
123,856
124,812
125,782
126,737
127,794
128,794
129,770
130,840
131,803
132,863
133,826
134,881
135,914
136,885
137,957
138,941
139,926
140,901
141,929
142,856
143,856
144,813
145,856
146,860
147,801
148,818
149,761
150,785
151,839
152,781
153,811
154,803
155,781
156,845
157,803
158,863
159,784
160,737
161,830
162,765
163,812
164,781
165,800
166,797
167,788
168,843
169,772
170,769
171,790
172,851
173,839
174,903
175,937
176,891
177,970
178,948
179,1033
180,1106
181,1099
182,1054
183,1023
184,1039
185,987
186,810
187,810
188,772
189,820
190,683
191,746
192,696
193,650
194,742
195,694
196,667
197,620
198,624
199,605
200,581
201,578
202,584
203,600
204,599
205,577
206,531
207,595
208,598
209,658
210,729
211,1071
212,2085
213,3107
214,4904
215,6994
216,15914
217,25235
218,64494
219,36100
220,20208
221,16289
222,23488
223,32445
224,34689
225,91845
226,132341
227,81389
228,28142
229,15584
230,11562
231,5685
232,476
233,261
234,263
235,270
236,293
237,245
238,279
239,238
240,254
241,264
242,255
243,306
244,401
245,327
246,393
247,384
248,407
249,382
250,442
251,399
252,350
253,274
254,24
255,0
