bin,count
0,4608
1,3755
2,2955
3,2870
4,2418
5,2324
6,1950
7,1882
8,1918
9,1770
10,1506
11,1485
12,1600
13,1744
14,1782
15,1965
16,2003
17,1997
18,1825
19,1720
20,1529
21,1512
22,1690
23,1706
24,1890
25,1896
26,1717
27,1736
28,1572
29,1944
30,1960
31,2107
32,2416
33,2518
34,2724
35,2587
36,2736
37,2907
38,3317
39,4138
40,6064
41,5757
42,4077
43,2679
44,1925
45,1591
46,1465
47,1296
48,1317
49,1320
50,1422
51,1279
52,1213
53,1066
54,1059
55,1013
56,942
57,873
58,892
59,872
60,885
61,917
62,922
63,936
64,1079
65,1096
66,1076
67,1125
68,1131
69,1169
70,1030
71,950
72,1039
73,948
74,864
75,934
76,935
77,915
78,886
79,846
80,836
81,936
82,1072
83,1115
84,1086
85,1142
86,1009
87,992
88,1075
89,1023
90,973
91,980
92,1029
93,1009
94,1043
95,1021
96,1006
97,1121
98,1111
99,1110
100,1091
101,1035
102,1007
103,957
104,948
105,947
106,937
107,918
108,881
109,870
110,895
111,959
112,917
113,1010
114,953
115,956
116,982
117,1057
118,1030
119,1060
120,976
121,1012
122,1006
123,920
124,904
125,910
126,840
127,907
128,883
129,910
130,926
131,891
132,941
133,907
134,962
135,968
136,966
137,1032
138,1056
139,1003
140,982
141,951
142,915
143,929
144,889
145,919
146,906
147,971
148,908
149,869
150,887
151,812
152,833
153,870
154,868
155,971
156,974
157,980
158,982
159,933
160,949
161,917
162,940
163,952
164,954
165,911
166,919
167,909
168,921
169,934
170,989
171,858
172,864
173,912
174,934
175,882
176,854
177,918
178,952
179,991
180,1096
181,1084
182,1046
183,968
184,922
185,862
186,867
187,755
188,729
189,792
190,654
191,650
192,656
193,681
194,685
195,704
196,629
197,680
198,661
199,628
200,633
201,621
202,562
203,639
204,619
205,540
206,591
207,590
208,590
209,664
210,707
211,944
212,1749
213,2832
214,5156
215,6367
216,15937
217,49178
218,40678
219,36999
220,19687
221,14857
222,23621
223,33449
224,31365
225,95287
226,136366
227,81425
228,23865
229,14471
230,11577
231,5272
232,309
233,326
234,270
235,200
236,214
237,206
238,241
239,222
240,219
241,242
242,273
243,375
244,372
245,352
246,296
247,283
248,263
249,249
250,292
251,221
252,167
253,104
254,5
255,0
