bin,count
0,901
1,1351
2,836
3,752
4,818
5,780
6,763
7,688
8,1086
9,913
10,788
11,685
12,711
13,729
14,793
15,881
16,829
17,988
18,1340
19,1697
20,2616
21,2897
22,2819
23,3038
24,2827
25,2524
26,2465
27,2330
28,2382
29,2376
30,2383
31,2442
32,2563
33,2544
34,2871
35,2950
36,2931
37,2866
38,3101
39,3289
40,3164
41,4758
42,3713
43,2723
44,2373
45,2090
46,1720
47,1567
48,1559
49,1504
50,1533
51,1430
52,1387
53,1329
54,1341
55,1337
56,1420
57,1466
58,1627
59,1542
60,1409
61,1352
62,1290
63,1252
64,1243
65,1171
66,1099
67,975
68,957
69,921
70,977
71,866
72,913
73,914
74,857
75,950
76,1091
77,1097
78,954
79,954
80,931
81,885
82,959
83,941
84,961
85,960
86,933
87,937
88,972
89,935
90,922
91,938
92,925
93,876
94,971
95,908
96,944
97,943
98,1003
99,944
100,971
101,988
102,1051
103,1115
104,1065
105,1098
106,1144
107,1127
108,1155
109,1196
110,1179
111,1201
112,1266
113,1300
114,1219
115,1139
116,1124
117,1187
118,1273
119,1284
120,1374
121,1308
122,1373
123,1425
124,1457
125,1457
126,1494
127,1437
128,1410
129,1495
130,1438
131,1390
132,1418
133,1411
134,1440
135,1495
136,1585
137,1620
138,1598
139,1671
140,1769
141,1871
142,2162
143,2069
144,1844
145,1749
146,1643
147,1548
148,1559
149,1499
150,1413
151,1446
152,1405
153,1415
154,1448
155,1474
156,1484
157,1388
158,1428
159,1442
160,1400
161,1432
162,1509
163,1520
164,1685
165,1606
166,1459
167,1284
168,1213
169,1257
170,1239
171,1193
172,1196
173,1186
174,1173
175,1164
176,1224
177,1154
178,1098
179,1189
180,1093
181,1171
182,1147
183,1176
184,1181
185,1178
186,1242
187,1206
188,1265
189,1255
190,1353
191,1216
192,1223
193,1182
194,1215
195,1245
196,1256
197,1277
198,1244
199,1243
200,1237
201,1233
202,1270
203,1265
204,1279
205,1306
206,1467
207,1498
208,1606
209,1560
210,1728
211,1900
212,2053
213,2392
214,3240
215,5457
216,11079
217,36822
218,49252
219,38976
220,20419
221,16605
222,21554
223,31536
224,25739
225,119894
226,139056
227,62049
228,13397
229,9152
230,7396
231,1031
232,8
233,4
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
