bin,count
0,580
1,965
2,430
3,640
4,913
5,588
6,637
7,484
8,530
9,530
10,500
11,428
12,532
13,577
14,693
15,755
16,736
17,710
18,718
19,690
20,824
21,1133
22,1927
23,2824
24,2676
25,2825
26,2728
27,2750
28,2979
29,3032
30,2703
31,2565
32,2570
33,2534
34,2485
35,3259
36,3198
37,3063
38,3026
39,3252
40,3575
41,3407
42,3662
43,3418
44,2673
45,2152
46,1780
47,1829
48,1733
49,1713
50,1653
51,1634
52,1531
53,1441
54,1354
55,1144
56,1130
57,1028
58,1101
59,1012
60,1063
61,1021
62,1049
63,1054
64,1008
65,960
66,952
67,893
68,910
69,915
70,884
71,889
72,903
73,908
74,912
75,967
76,946
77,994
78,1004
79,948
80,979
81,965
82,988
83,993
84,997
85,991
86,1080
87,1213
88,1346
89,1452
90,1348
91,1209
92,1239
93,1230
94,1247
95,1243
96,1290
97,1282
98,1303
99,1273
100,1248
101,1238
102,1283
103,1305
104,1327
105,1344
106,1392
107,1396
108,1473
109,1467
110,1507
111,1538
112,1401
113,1397
114,1374
115,1395
116,1398
117,1449
118,1504
119,1406
120,1410
121,1444
122,1446
123,1392
124,1347
125,1349
126,1330
127,1309
128,1330
129,1384
130,1371
131,1509
132,1480
133,1639
134,1650
135,1683
136,1776
137,1697
138,1733
139,1749
140,1813
141,1861
142,1946
143,2042
144,1844
145,1817
146,1806
147,1750
148,1859
149,1732
150,1710
151,1796
152,1750
153,1665
154,1612
155,1667
156,1689
157,1772
158,1827
159,1880
160,2006
161,1626
162,1604
163,1619
164,1612
165,1673
166,1599
167,1595
168,1604
169,1614
170,1565
171,1604
172,1537
173,1572
174,1547
175,1528
176,1605
177,1581
178,1676
179,1673
180,1639
181,1607
182,1648
183,1612
184,1668
185,1657
186,1610
187,1551
188,1601
189,1512
190,1468
191,1474
192,1252
193,1276
194,1327
195,1348
196,1313
197,1373
198,1334
199,1387
200,1454
201,1395
202,1411
203,1389
204,1381
205,1373
206,1442
207,1565
208,1600
209,1652
210,1741
211,1870
212,1959
213,2062
214,2115
215,3471
216,11140
217,34588
218,47404
219,39140
220,21250
221,16353
222,21040
223,31876
224,24692
225,128489
226,135797
227,52907
228,12237
229,7677
230,6286
231,232
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
