bin,count
0,3926
1,2526
2,2049
3,1776
4,1939
5,1958
6,1850
7,1642
8,1795
9,1792
10,1693
11,1709
12,1747
13,1625
14,1692
15,2215
16,2085
17,2091
18,2054
19,1861
20,1832
21,1751
22,1885
23,1894
24,1951
25,2004
26,1861
27,1850
28,1782
29,1750
30,1932
31,2274
32,2463
33,2605
34,2593
35,2578
36,3008
37,3383
38,3240
39,3371
40,5446
41,5886
42,3871
43,2436
44,1657
45,1537
46,1597
47,1529
48,1445
49,1278
50,1234
51,1144
52,1136
53,1124
54,1187
55,1050
56,992
57,931
58,915
59,956
60,959
61,1002
62,1001
63,1049
64,1077
65,1182
66,1200
67,1199
68,1174
69,1173
70,1039
71,901
72,920
73,1007
74,1059
75,1001
76,1011
77,986
78,893
79,915
80,953
81,962
82,981
83,1037
84,917
85,924
86,916
87,962
88,951
89,872
90,928
91,925
92,1052
93,1014
94,1060
95,1072
96,1104
97,1119
98,1101
99,1100
100,1077
101,1015
102,1078
103,1006
104,1001
105,997
106,947
107,995
108,1070
109,1055
110,1063
111,1044
112,1055
113,1027
114,990
115,1072
116,1092
117,1106
118,1075
119,1121
120,1028
121,954
122,980
123,951
124,1022
125,1021
126,996
127,1016
128,990
129,977
130,1013
131,1022
132,1066
133,1115
134,1090
135,1033
136,1152
137,1074
138,1145
139,1098
140,1165
141,1108
142,1107
143,1071
144,1128
145,1160
146,1071
147,1008
148,1002
149,1082
150,1011
151,973
152,1016
153,1081
154,961
155,1033
156,1017
157,1121
158,1120
159,1105
160,1035
161,1056
162,1031
163,959
164,1034
165,983
166,946
167,961
168,1020
169,1007
170,988
171,1021
172,987
173,982
174,1022
175,1067
176,1041
177,1044
178,998
179,941
180,858
181,820
182,803
183,846
184,757
185,771
186,769
187,780
188,738
189,769
190,763
191,759
192,756
193,744
194,690
195,730
196,675
197,739
198,760
199,674
200,707
201,750
202,693
203,706
204,727
205,686
206,719
207,772
208,815
209,834
210,936
211,1055
212,1520
213,2464
214,4432
215,6718
216,14413
217,28013
218,62706
219,38494
220,18609
221,15259
222,23823
223,33066
224,27987
225,98104
226,138468
227,82715
228,20162
229,13388
230,11086
231,4672
232,229
233,178
234,165
235,174
236,197
237,184
238,231
239,214
240,229
241,280
242,295
243,266
244,289
245,282
246,188
247,138
248,73
249,91
250,24
251,0
252,0
253,0
254,0
255,0
