bin,count
0,3021
1,1809
2,1063
3,987
4,933
5,1010
6,1887
7,1367
8,1649
9,1612
10,1291
11,1286
12,1367
13,1435
14,1554
15,1513
16,1904
17,2392
18,2386
19,2264
20,2184
21,2173
22,2228
23,2288
24,2265
25,2177
26,2163
27,2256
28,1952
29,2041
30,2333
31,2435
32,2308
33,2787
34,2746
35,2893
36,2818
37,3454
38,3252
39,3058
40,4600
41,5395
42,3298
43,2251
44,1814
45,1756
46,1523
47,1306
48,1269
49,1333
50,1350
51,1323
52,1272
53,1113
54,1105
55,1252
56,1110
57,1053
58,1127
59,1112
60,1084
61,1131
62,1060
63,1119
64,1099
65,1173
66,1229
67,1311
68,1191
69,1007
70,1040
71,963
72,896
73,798
74,894
75,1055
76,1013
77,918
78,905
79,878
80,971
81,982
82,944
83,930
84,937
85,1039
86,925
87,983
88,940
89,906
90,896
91,962
92,947
93,873
94,899
95,900
96,1061
97,992
98,916
99,1019
100,923
101,883
102,1004
103,961
104,969
105,1039
106,1102
107,1046
108,1112
109,1127
110,1149
111,1171
112,1169
113,1208
114,1185
115,1159
116,1153
117,1237
118,1181
119,1194
120,1243
121,1245
122,1180
123,1130
124,1205
125,1202
126,1193
127,1124
128,1183
129,1214
130,1215
131,1273
132,1300
133,1320
134,1314
135,1348
136,1352
137,1353
138,1282
139,1440
140,1515
141,1491
142,1472
143,1530
144,1433
145,1494
146,1439
147,1320
148,1287
149,1229
150,1310
151,1266
152,1228
153,1233
154,1198
155,1244
156,1128
157,1163
158,1156
159,1089
160,1088
161,1126
162,1080
163,1097
164,1097
165,1080
166,1131
167,1125
168,1112
169,1210
170,1265
171,1249
172,1166
173,1126
174,957
175,949
176,907
177,946
178,871
179,880
180,913
181,862
182,868
183,855
184,875
185,864
186,836
187,795
188,828
189,887
190,934
191,896
192,847
193,849
194,824
195,869
196,875
197,889
198,862
199,859
200,887
201,863
202,846
203,925
204,881
205,915
206,999
207,1013
208,1089
209,1094
210,1157
211,1346
212,1563
213,2228
214,3305
215,6546
216,12302
217,45059
218,46821
219,38456
220,18498
221,14983
222,24645
223,31034
224,27832
225,105883
226,137530
227,79136
228,16498
229,11744
230,9929
231,3413
232,221
233,161
234,156
235,116
236,109
237,100
238,96
239,109
240,119
241,111
242,75
243,56
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
