bin,count
0,1769
1,1536
2,569
3,499
4,730
5,878
6,839
7,595
8,702
9,831
10,660
11,660
12,765
13,684
14,682
15,803
16,885
17,1054
18,1350
19,1951
20,2445
21,2847
22,2899
23,2965
24,2743
25,3103
26,2591
27,2618
28,2465
29,2376
30,2406
31,2363
32,2483
33,2696
34,3077
35,2922
36,2738
37,2810
38,3343
39,3111
40,3378
41,4986
42,3170
43,2454
44,2304
45,1961
46,1513
47,1437
48,1447
49,1529
50,1470
51,1360
52,1328
53,1381
54,1283
55,1343
56,1337
57,1486
58,1330
59,1253
60,1315
61,1228
62,1140
63,1080
64,1172
65,1143
66,1035
67,987
68,968
69,934
70,824
71,848
72,899
73,905
74,988
75,961
76,1020
77,999
78,994
79,931
80,927
81,1043
82,1007
83,982
84,953
85,968
86,964
87,944
88,953
89,921
90,948
91,926
92,964
93,986
94,970
95,1048
96,1151
97,1169
98,1169
99,1102
100,1087
101,1109
102,1047
103,1162
104,1122
105,1096
106,1113
107,1073
108,1084
109,1164
110,1136
111,1146
112,1176
113,1202
114,1260
115,1192
116,1248
117,1238
118,1333
119,1381
120,1441
121,1389
122,1488
123,1445
124,1505
125,1520
126,1547
127,1468
128,1455
129,1443
130,1482
131,1550
132,1601
133,1486
134,1534
135,1599
136,1690
137,1635
138,1647
139,1622
140,1630
141,1638
142,1690
143,1659
144,1506
145,1632
146,1633
147,1689
148,1615
149,1544
150,1555
151,1563
152,1568
153,1515
154,1534
155,1476
156,1513
157,1600
158,1523
159,1571
160,1646
161,1490
162,1697
163,1536
164,1527
165,1501
166,1428
167,1359
168,1160
169,1226
170,1203
171,1212
172,1250
173,1162
174,1268
175,1207
176,1209
177,1235
178,1269
179,1307
180,1252
181,1263
182,1298
183,1297
184,1291
185,1353
186,1424
187,1408
188,1353
189,1362
190,1274
191,1333
192,1269
193,1203
194,1145
195,1155
196,1175
197,1156
198,1248
199,1193
200,1152
201,1162
202,1191
203,1132
204,1137
205,1121
206,1066
207,1155
208,1210
209,1264
210,1340
211,1390
212,1494
213,1644
214,2137
215,4874
216,12134
217,33245
218,53593
219,38693
220,20792
221,16124
222,22239
223,30386
224,24642
225,120085
226,137423
227,64258
228,14761
229,9452
230,8027
231,1697
232,7
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
